attributions,,
Curved spine,Lots of driving,Lots of tension in my body
Poor sleep habits/bed,Lots of time driving,Pre-existing back condition
injury,reinjury,damage to nerves
scoliosis,ruptured discs,age
scoliosis,degenerated discs,age
Car Accident,Football Injury,Improper lifting
Car accident,Football injury,poor lifting
bad sleep posture,overexertion,bad posture in general
bad posture,incorrect mattress type,advancing age
work as a massage therapist,inadequate self-care,mattress
work (as a massage therapist),stress,poor posture
injury,poor posture,time
my thoughts,People around me,Doctors
traumatic injury,determination to be active despite pain,stress
Traumatic injury,Stress/Anxiety,Repressed emotions
muscle imbalance,injury from hockey,family history
pain signals after an injury,not taking care of my core/back,Family history
sitting at a computer for many years,age,genetics
stress,genetics,sitting at a computer all day
Lack of proper exercise,sedentary lifestyle,unhealthy diet
Lack of exercise,sedentary lifestyle,unhealthy diet
previous injury,sitting at a desk job,being too active
previous injury,sitting at work all the time,recent injury playing volleyball
Stress from a job,Car accident that impacted spine,Having mostly desk jobs
self adjustments (cracking),Biking,poor posture
self adjustments,Cycling,past injuries
arthritis,failed psoas,whatever caused the above
arthritis,injury,genetics
illness/not taking care of myself,weight,stress
Celiac/vitamin deficiency,stress,age
injury,posture,?
Age,lifting a baby/toddler daily,Heredity?
Age,Lifting a baby/toddler,Heredity
Back injury,gymnastics,car accident
Lift injury,car accident,gymnastics
Back Pain,Arthritis,Mental Attitude
Fibromyalgia,Anxiety,Depression
run over by vehicle as a pedestrian,"spine, pelvic, cervical damage and Traumatic brain injury",permanent injuries
"being run over by truck,  as a pedestrian",permanent physical damage,aging
work-related stress,anxiety disorder,posture
anxiety disorder,posture,stressful job
Being at a desk job all my life,Bad posture,Being overweight
child-bearing and carrying,weak butt muscles,hereditary back issues
pregnancy,carrying around the babies,weak core/glutes
injury,diet,drugs/alcohol
past conditioning,fear,anxiety
degenerative disc disease  multi-level,Nerve entrapment and damage causing chronic neuropathic  Pain,Chronic inflammation
nerve compression in hip,feeling afraid when I experience pain and feeling there is nothing I can do,Not listening and attending to my needs and doing too much for other people instead of attending to what I need
Age,Falls,Sedentary work/lifestyle
Morning routine,Expectation of pain,Nerves
heavy lifting,disc disease,child birth
anxiety,muscle tension,mom
degenerative arthritis,age,activity
arthritis,fascial entrapment,psychological response to perceived pain
sports,genetics,diet
athletic energy,muscle strain,congenital defect
prolonged sitting in graduate program,predisposition to hypermobility,poor posture
prolonged sitting in master's program,hypermobility,years of dance and gymnastics
Barre Method exercise,Cross country ski fall,Poor physical therapy
Barre Method,Cross country skiing accident,weak muscles
Posture at the computer,Overexertion while working,Uncomfortable bed
Poor Posture,Heavy Lifting,Years of sitting down for work
Snowboarding,Mountain Biking,Lifestyle
Lack of stretching/exercise,high school pole vault,"scoliosis (although I've been told its not a factor, that it can't cause pain)"
lack of exercise  / stretching,scoliosis,pole vaulting injury/accident in track
Broken bone,Genetics,Random chance
broken tail bone,genetic factor,random chance
stress,anxiety,tension
stress,anxiety,actual injury
childhood traumatic injury,overuse injuries,deferred pain from leg tightness/lack of stretching
Neural pathways,Personal History 'Story',Parental influence
Car accident,limited physical therapy,too physical after accident
Packing/Moving boxes,Walking distances with heavy bag,Playing with dog
Moving things/bending,Standing in place for long periods,Walking with a heavy bag
father's genes,luck,past athletics/outdoor activities
genetics,lack of appropriate exercises/sports,non-compliant with maintenance
back injury,aging,your guess
High School Football,Car Accident,Posture
High School Football,Car Accident,Snowboarding Crash
Slight curve in spine,Stress to muscles from travel and work,Exploring various treatments
Internalizing a lot of anxiety and stress,Fear of injury,Tense muscles and little exercise
Scoliosis,Poor posture,Lifting many heavy things with poor form
Scoliosis,Poor posture,Unevenly tight muscles
overuse/ weightlifting,football,excess weight & weak core
Initial football injury,Neural Pathways,Out of touch with body & feelings
Structural damage - football,Inactive lifestyle - I sit a lot in front of a computer or in a car,Overweight and out of shape
Structural damage from football,Stress in life,Not dealing with the stress
Sitting,Weight gain,Aging
Sitting,Overweight,Physical straining
Rowing,Over-exercise,stress
Rowing,Sports,Lack of flexibility
